"alpha","mode","fdp_mean","tpp_mean","fpr_mean","fp_mean"
0,"BH",0,0,0,0
0.05,"BH",0,0,0,0
0.1,"BH",0,0,0,0
0.15,"BH",0,0,0,0
0.2,"BH",0,0,0,0
0.25,"BH",0.0962786826774462,0.0757869249394673,0.0747254775306819,809.8
0.3,"BH",0.0962195923734385,0.0835351089588378,0.0810279597674633,878.1
0.35,"BH",0.192357642532354,0.164196780005279,0.159192712552622,1724.5
0.4,"BH",0.192446453975324,0.167545299106067,0.164362993812432,1780.5
0.45,"BH",0.192437428903832,0.173278978231183,0.16979184090652,1839.3
0.5,"BH",0.192435879340166,0.176879955934498,0.173299259105585,1877.3
0.55,"BH",0.192519199973559,0.181670931686997,0.180166591224042,1951.7
0.6,"BH",0.192508295852074,0.186667890708376,0.18492151336531,2003.2
0.65,"BH",0.192526006005068,0.189047886806743,0.187801812116059,2034.4
0.7,"BH",0.289321525534327,0.254544654406453,0.252860193148251,2742.8
0.75,"BH",0.289374430213897,0.262151665544327,0.261664558161252,2838.6
0.8,"BH",0.289339132084825,0.269159988910745,0.267822768086924,2905.6
0.85,"BH",0.289276584065161,0.277907299106259,0.274970188328445,2983.4
0.9,"BH",0.289241047070128,0.288201164371807,0.284195242656299,3083.8
0.95,"BH",0.386242827941178,0.352301663625245,0.350869948396505,3810.4
1,"BH",0.96593288590604,1,0.9930998017229,10794.3
0,"Liu",0.0032258064516129,0.107291391941804,9.19963201471941e-06,0.1
0.05,"Liu",0.0438294780234474,0.305245177495585,0.000487666575913147,5.3
0.1,"Liu",0.0890170506182665,0.382740667267071,0.0013159121112659,14.3
0.15,"Liu",0.135988416226976,0.432836619443497,0.00239256578199163,26
0.2,"Liu",0.192048516965694,0.470591647224876,0.00391949330392134,42.6
0.25,"Liu",0.240201157303636,0.500738827776342,0.00554836977433584,60.3
0.3,"Liu",0.295642115024401,0.528905914253775,0.00776531143881845,84.4
0.35,"Liu",0.349829465687646,0.552064323397148,0.0103967141070928,113
0.4,"Liu",0.387853339965217,0.572035217881484,0.0127066874286576,138.1
0.45,"Liu",0.434094627821057,0.593572794758829,0.0159821146292325,173.7
0.5,"Liu",0.497611488305498,0.618590238135815,0.0215669584929294,234.4
0.55,"Liu",0.542254730686501,0.639563767232702,0.0267211419837542,290.4
0.6,"Liu",0.589844339558108,0.667226688981007,0.0337973952322209,367.3
0.65,"Liu",0.639622248426245,0.691916002520165,0.043208891085296,469.6
0.7,"Liu",0.686089321613588,0.721810860299018,0.0554816477508258,603
0.75,"Liu",0.732868033031078,0.753524530578444,0.0729278995084602,792.6
0.8,"Liu",0.78323298688714,0.784353863929995,0.100004889708261,1086.8
0.85,"Liu",0.834317264207489,0.826471453330353,0.146242808571962,1589.4
0.9,"Liu",0.878250126548939,0.865501205253458,0.219631404279795,2387.1
0.95,"Liu",0.922832082789542,0.917058759358025,0.393847486851887,4281.1
1,"Liu",0.965330017144457,0.996983920878974,0.973826320317944,10585.2
