"alpha","mode","fdp_mean","tpp_mean","fpr_mean","fp_mean"
0,"BH",0,0,0,0
0.05,"BH",0,0,0,0
0.1,"BH",0,0,0,0
0.15,"BH",0,0,0,0
0.2,"BH",0,0,0,0
0.25,"BH",0,0,0,0
0.3,"BH",0,0,0,0
0.35,"BH",0.0932667617689016,0.0642176870748299,0.0621778411792677,653.8
0.4,"BH",0.0932052076875388,0.0745578231292517,0.0714883499762244,751.7
0.45,"BH",0.0933101851851852,0.078639455782313,0.0766714217784118,806.2
0.5,"BH",0.0934046345811052,0.0805442176870748,0.079733713742273,838.4
0.55,"BH",0.186405211771159,0.135238095238095,0.130813124108417,1375.5
0.6,"BH",0.280443308723292,0.201496598639456,0.201245839277223,2116.1
0.65,"BH",0.280448832844396,0.222448979591837,0.222681883024251,2341.5
0.7,"BH",0.28055596559715,0.23687074829932,0.238668568711365,2509.6
0.75,"BH",0.280445655329492,0.249387755102041,0.250042796005706,2629.2
0.8,"BH",0.280445312870016,0.257959183673469,0.258582976699952,2719
0.85,"BH",0.373917997147372,0.322448979591837,0.323414170233,3400.7
0.9,"BH",0.374181739902678,0.34843537414966,0.352667617689016,3708.3
0.95,"BH",0.466862831310028,0.457006802721088,0.451431288635283,4746.8
1,"BH",0.934228187919463,1,0.992867332382311,10440
0,"Liu",0,0.0155102040816327,0,0
0.05,"Liu",0.0649823598741209,0.0619047619047619,0.000256776034236805,2.7
0.1,"Liu",0.108746226284928,0.0971428571428571,0.000836899667142178,8.8
0.15,"Liu",0.170416746375969,0.138095238095238,0.00198763670946267,20.9
0.2,"Liu",0.227375367028533,0.167210884353741,0.00345221112696148,36.3
0.25,"Liu",0.268086004353296,0.200680272108844,0.00518307180218735,54.5
0.3,"Liu",0.315850393437217,0.232108843537415,0.00748454588682834,78.7
0.35,"Liu",0.366148904499379,0.259319727891156,0.0105468378506895,110.9
0.4,"Liu",0.415190284331298,0.292789115646258,0.0148074179743224,155.7
0.45,"Liu",0.465572275317419,0.322993197278912,0.0199809795530195,210.1
0.5,"Liu",0.506808778714314,0.354013605442177,0.0257631954350927,270.9
0.55,"Liu",0.548708669732455,0.388027210884354,0.0333618640038041,350.8
0.6,"Liu",0.593982672109819,0.41891156462585,0.0432905373276272,455.2
0.65,"Liu",0.631396220802882,0.45265306122449,0.0548834997622444,577.1
0.7,"Liu",0.678568995836345,0.499047619047619,0.0747028055159296,785.5
0.75,"Liu",0.719184400408732,0.542448979591837,0.0988017118402282,1038.9
0.8,"Liu",0.763913278865537,0.596598639455782,0.137032810271041,1440.9
0.85,"Liu",0.805727883404498,0.66,0.195596766524013,2056.7
0.9,"Liu",0.849578725564423,0.739727891156463,0.294740846409891,3099.2
0.95,"Liu",0.896077967615797,0.850068027210884,0.516357584403234,5429.5
1,"Liu",0.934033641903208,0.998775510204082,0.988530670470756,10394.4
