"alpha","mode","fdp_mean","tpp_mean","fpr_mean","fp_mean"
0,"BH",0,0,0,0
0.05,"BH",0,0,0,0
0.1,"BH",0,0,0,0
0.15,"BH",0,0,0,0
0.2,"BH",0,0,0,0
0.25,"BH",0,0,0,0
0.3,"BH",0.0933503836317136,0.0797333333333334,0.0799523809523809,839.5
0.35,"BH",0.0932732172470979,0.0865333333333333,0.0857047619047619,899.9
0.4,"BH",0.0932789197904071,0.0889333333333334,0.0881619047619047,925.7
0.45,"BH",0.186538881514992,0.159066666666667,0.157514285714286,1653.9
0.5,"BH",0.186647806898855,0.167333333333333,0.16707619047619,1754.3
0.55,"BH",0.279834298666685,0.2364,0.23452380952381,2462.5
0.6,"BH",0.279844333628322,0.252266666666667,0.25012380952381,2626.3
0.65,"BH",0.373134130149946,0.308266666666667,0.305733333333333,3210.2
0.7,"BH",0.559016831111931,0.448933333333333,0.438495238095238,4604.2
0.75,"BH",0.55935287250868,0.477866666666667,0.470038095238095,4935.4
0.8,"BH",0.559674685563804,0.500133333333333,0.495780952380952,5205.7
0.85,"BH",0.559575866141891,0.5248,0.518771428571429,5447.1
0.9,"BH",0.652937861740551,0.612933333333333,0.607266666666667,6376.3
0.95,"BH",0.746447067325668,0.705866666666667,0.70312380952381,7382.8
1,"BH",0.932885906040268,1,0.992857142857143,10425
0,"Liu",0,0.0382666666666667,0,0
0.05,"Liu",0.0454815275898248,0.1624,0.000542857142857143,5.7
0.1,"Liu",0.0813084740141407,0.2228,0.00140952380952381,14.8
0.15,"Liu",0.132064132170775,0.268133333333333,0.00293333333333333,30.8
0.2,"Liu",0.178997927627648,0.301066666666667,0.00468571428571429,49.2
0.25,"Liu",0.217183310298736,0.333866666666667,0.00665714285714286,69.9
0.3,"Liu",0.251328800894323,0.360666666666667,0.00873333333333333,91.7
0.35,"Liu",0.307881536092629,0.389066666666667,0.0123904761904762,130.1
0.4,"Liu",0.363419999283129,0.420533333333333,0.0172380952380952,181
0.45,"Liu",0.403019681115557,0.445866666666667,0.0215619047619048,226.4
0.5,"Liu",0.452845620399376,0.4704,0.0278952380952381,292.9
0.55,"Liu",0.504354765613515,0.501466666666667,0.0366095238095238,384.4
0.6,"Liu",0.556585276356793,0.529066666666667,0.0476,499.8
0.65,"Liu",0.608249303903147,0.563733333333333,0.0630571428571429,662.1
0.7,"Liu",0.649679379092984,0.5948,0.0795047619047619,834.8
0.75,"Liu",0.699567323230017,0.634266666666667,0.106304761904762,1116.2
0.8,"Liu",0.750070363849103,0.683866666666667,0.147771428571429,1551.6
0.85,"Liu",0.802008991404604,0.740666666666667,0.215847619047619,2266.4
0.9,"Liu",0.848205331981264,0.8028,0.321333333333333,3374
0.95,"Liu",0.889318689253954,0.8756,0.504019047619048,5292.2
1,"Liu",0.93261393888017,0.9984,0.987,10363.5
